,arch,pretrained,family,aro,colorswap,crepe,eqben,imagecode,mmvp_vlm,sugarcrepe,svo_probes,valse,vl_checklist,whatsup,winoground,coco_i2t,coco_t2i,flickr_i2t,flickr_t2i,imagenet,21_tasks_avg,comp_avg,i2t_avg,t2i_avg
42,convnext_base,laion400m_s13b_b51k,OpenCLIP,48.58995479,15.66666667,18.77168497,30.12608212,23.71850565,15.55555556,75.10563386,87.994373,66.56375507,69.33265907,42.18494117,10.25,54.78,37.61295482,83.7,65,66.244,60.02729437,41.98831766,69.24,51.30647741
43,convnext_large_d,laion2b_s26b_b102k_augreg,OpenCLIP,42.74984841,23,15.30154433,33.04051518,26.54213727,22.22222222,81.05953405,90.45499025,69.01679182,68.05276422,40.39697889,9,64,47.00119952,91.8,75.84,75.916,67.31873799,43.40311055,77.9,61.42059976
44,convnext_xxlarge,laion2b_s34b_b82k_augreg,OpenCLIP,43.29998003,26,14.87864087,33.7260926,27.1068636,25.18518519,81.38588504,91.37179393,69.63139093,69.39771057,40.52856673,9,67,49.70411835,91.6,79.02,79.074,71.05761513,44.29267579,79.3,64.36205918
45,coca_ViT-B-32,laion2b_s13b_b90k,OpenCLIP,44.47715699,16.66666667,16.77997516,30.27007386,24.02258905,14.81481481,77.72091785,87.1885562,66.92191336,67.37977687,41.02854088,7.25,54.52,36.70931627,82.2,63.76,63.598,60.22420183,41.21008181,68.36,50.23465814
46,coca_ViT-L-14,laion2b_s13b_b90k,OpenCLIP,42.42808743,16.66666667,16.86309239,32.35029355,25.4995656,19.25925926,79.41869456,89.63275096,70.04612675,69.48732287,41.10757068,8,62.8,45.83766493,88.9,74.24,75.65,68.27157292,42.56328589,75.85,60.03883247
47,roberta-ViT-B-32,laion2b_s12b_b32k,OpenCLIP,43.10543663,20,17.39147155,30.11620505,24.58731538,16.2962963,79.35016275,87.0729882,66.8593233,67.59040348,41.43129262,7.5,54.36,37.40103958,81.8,64.42,61.716,60.20190356,41.7750746,68.08,50.91051979
48,xlm-roberta-base-ViT-B-32,laion5b_s13b_b90k,OpenCLIP,41.83559093,20.33333333,15.92692994,30.43375632,24.54387489,13.33333333,78.34359822,88.2507295,67.08415404,68.26600143,40.32366143,7.25,53.52,37.77688924,82.7,64.5,62.342,61.66378396,41.32708028,68.11,51.13844462
49,RN50-quickgelu,yfcc15m,OpenCLIP,40.05996887,9.333333333,13.92984809,19.20928164,18.11468288,9.62962963,67.98125928,78.67555578,61.3331021,64.42612487,41.87464779,6.5,27.24,16.44142343,49.1,31.82,32.748,30.6128753,35.92228619,38.17,24.13071172
50,RN50-quickgelu,cc12m,OpenCLIP,40.69439445,12.66666667,16.17681179,24.5821987,20.50390964,11.85185185,73.67105247,83.05302904,61.51611488,66.31995225,41.41521568,5.75,33.72,24.11835266,60.6,47,36.474,33.86435003,38.18343312,47.16,35.55917633
51,RN101-quickgelu,openai,OpenCLIP,53.40518233,11.66666667,17.74975308,26.83964638,21.41615986,10.37037037,72.99746804,83.3893114,66.48607459,69.2135478,41.90909304,7.5,49.84,30.70371851,79.1,58.08,62.272,55.37299947,40.2452728,64.47,44.39185926
52,RN101-quickgelu,yfcc15m,OpenCLIP,38.89742215,6.333333333,13.16774424,19.42975259,18.20156386,10.37037037,68.38204601,78.99698091,61.51332536,65.35800228,42.17813198,7,28.7,17.77289084,53.6,34.58,34.85,31.89455796,35.81905609,41.15,26.17644542
53,ViT-B-32,laion400m_e32,OpenCLIP,47.65738711,18,16.91434956,28.97414192,23.76194613,15.55555556,76.54384651,87.16300925,65.67093063,64.8782261,41.33179806,7.75,52.46,34.31827269,77.7,59.62,60.246,55.26189301,41.18343257,65.08,46.96913635
54,ViT-B-32,commonpool_m_clip_s128m_b4k,OpenCLIP,38.66832795,6,11.42159205,19.21772288,17.20243267,6.666666667,63.58272511,74.03145916,57.97369975,60.68361505,43.1958078,2.5,18.24,11.247501,30.3,18.92,27.246,36.68336988,33.42867076,24.27,15.0837505
55,ViT-B-32,commonpool_m_laion_s128m_b4k,OpenCLIP,35.27785176,8.666666667,11.81565226,18.79716213,17.46307559,8.888888889,64.4035817,76.07661305,59.42244679,60.27025709,41.72268667,6.25,16.5,10.52778888,27.4,17.96,23.034,32.24886694,34.08790688,21.95,14.24389444
56,ViT-B-32,commonpool_m_image_s128m_b4k,OpenCLIP,38.01061349,5,10.08259798,17.83931416,17.24587315,7.407407407,63.42542444,74.35541506,58.50757192,60.96133511,41.87257727,5,16.54,10.53178729,27.1,18.94,26.784,33.73717956,33.30901083,21.82,14.73589364
57,ViT-B-32,commonpool_m_text_s128m_b4k,OpenCLIP,38.70476419,7.333333333,11.99387951,18.03795116,16.50738488,9.62962963,64.40360481,74.76187573,59.0597145,61.55204984,42.23402468,2.75,18.18,10.85165934,29,18.72,25.474,33.63693003,33.91401769,23.59,14.78582967
58,ViT-B-32,commonpool_m_basic_s128m_b4k,OpenCLIP,36.31141533,7.333333333,12.07879966,17.86330233,16.55082537,6.666666667,64.18124588,75.36824909,60.38696059,61.68390622,42.67259096,2.75,16.62,10.07197121,24.9,18.76,22.556,31.07933285,33.65394128,20.76,14.41598561
59,ViT-B-32,commonpool_m_s128m_b4k,OpenCLIP,39.05773315,4.333333333,11.13824525,15.61764802,15.24761077,5.185185185,61.74015157,71.45821818,59.8620316,62.68463584,41.99573149,3.25,12.42,7.009196321,19.3,12.7,17.548,28.42670223,32.63087703,15.86,9.854598161
60,ViT-B-32,commonpool_s_clip_s13m_b4k,OpenCLIP,36.64935674,4.333333333,10.43930982,11.45811131,13.42311034,8.888888889,56.20430303,62.20509,52.36392734,58.03701485,42.50269455,2.75,2.92,1.575369852,4,2.86,5.054,18.87890281,29.93792835,3.46,2.217684926
61,ViT-B-32,commonpool_s_laion_s13m_b4k,OpenCLIP,35.51922614,7,12.22855336,10.25649006,12.42397915,7.407407407,54.67361541,61.27506842,53.96190648,58.22063363,42.10475994,7.5,1.38,1.011595362,2.7,1.76,3.05,16.37778888,30.21430333,2.04,1.385797681
